"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
558,"18",R99,149,201,0,1
559,"19",Z38,351,317,0,1
560,"19",O82,0,604,0,1
561,"19",K81,61,191,0,1
562,"19",J18,73,92,1,1
563,"19",A09,77,72,0,1
564,"19",K35,46,74,0,1
565,"19",Z98,43,63,0,1
566,"19",N85,0,96,0,1
567,"19",N39,23,70,0,1
568,"19",O06,0,86,0,1
569,"19",K37,35,46,0,1
570,"19",N20,41,38,0,1
571,"19",E14,41,34,0,1
572,"19",H26,42,33,0,1
573,"19",I10,29,46,0,1
574,"19",S72,21,52,0,1
575,"19",D25,0,70,0,1
576,"19",S52,31,37,0,1
577,"19",K40,46,9,0,1
578,"19",K80,13,41,0,1
579,"19",Z41,10,43,0,1
580,"19",S82,30,22,0,1
581,"19",C91,12,39,0,1
582,"19",N40,50,0,0,1
583,"19",Z01,21,23,0,1
584,"19",K46,21,18,0,1
585,"19",I67,16,21,0,1
586,"19",O80,0,37,0,1
587,"19",E87,11,25,0,1
588,"19",S42,19,15,0,1
589,"19",R99,75,119,0,1
590,"20",O82,0,765,0,1
591,"20",Z38,336,288,2,1
592,"20",K81,79,258,0,1
593,"20",U07,84,79,0,1
594,"20",A09,61,68,0,1
595,"20",K37,59,64,0,1
596,"20",D25,0,116,0,1
597,"20",Z98,53,60,0,1
598,"20",K35,42,66,0,1
599,"20",I10,42,64,0,1
600,"20",J18,48,56,0,1
601,"20",N85,0,101,0,1
602,"20",N39,16,77,0,1
603,"20",H26,48,41,0,1
604,"20",E14,37,50,0,1
605,"20",N40,81,0,0,1
606,"20",S82,37,27,0,1
607,"20",K40,41,18,0,1
608,"20",S72,16,42,0,1
609,"20",E11,18,38,0,1
610,"20",O06,0,49,0,1
611,"20",N20,22,22,0,1
612,"20",I50,18,25,0,1
613,"20",K85,16,27,0,1
614,"20",O80,0,43,0,1
615,"20",S09,31,12,0,1
616,"20",S52,27,15,0,1
617,"20",F68,12,29,0,1
618,"20",K64,18,22,0,1
619,"20",K92,18,22,0,1
620,"20",R99,97,144,0,1
621,"21",Z38,189,189,1,1
622,"21",O82,0,378,0,1
623,"21",K37,55,60,0,1
624,"21",A09,52,60,1,1
625,"21",E14,32,63,0,1
626,"21",K80,14,80,0,1
627,"21",K81,15,75,0,1
628,"21",N85,0,81,0,1
629,"21",O80,0,81,0,1
630,"21",J18,41,32,0,1
631,"21",N18,59,4,0,1
632,"21",C91,26,34,0,1
633,"21",I10,21,39,0,1
634,"21",O06,0,60,0,1
635,"21",N39,12,37,0,1
636,"21",K40,34,13,0,1
637,"21",K35,18,27,0,1
638,"21",D25,0,44,0,1
639,"21",E87,13,26,0,1
640,"21",F10,33,6,0,1
641,"21",S52,16,21,2,1
642,"21",U07,21,9,0,1
643,"21",E11,10,18,0,1
644,"21",S82,11,17,0,1
645,"21",I67,15,9,0,1
646,"21",K46,15,9,0,1
647,"21",N40,24,0,0,1
648,"21",N83,0,23,0,1
649,"21",S72,6,16,1,1
650,"21",K31,6,16,0,1
651,"21",R99,52,72,1,1
652,"22",Z38,328,349,6,1
653,"22",O82,0,682,0,1
654,"22",K81,44,254,2,1
655,"22",O72,0,264,0,1
656,"22",N39,48,131,0,1
657,"22",Z98,76,99,0,1
658,"22",U07,83,88,0,1
659,"22",A09,58,104,0,1
660,"22",N85,0,155,0,1
661,"22",J18,71,69,0,1
662,"22",N18,123,14,0,1
663,"22",E14,52,84,0,1
664,"22",O06,0,135,0,1
665,"22",I10,57,72,0,1
666,"22",K37,38,88,1,1
667,"22",K80,25,95,0,1
668,"22",O80,0,118,0,1
669,"22",K35,55,56,0,1
670,"22",D25,0,91,0,1
671,"22",K40,52,34,0,1
672,"22",S72,31,49,0,1
673,"22",H26,27,38,0,1
674,"22",E87,16,46,1,1
675,"22",S82,32,22,0,1
676,"22",S52,28,23,0,1
677,"22",K92,21,26,0,1
678,"22",F10,42,3,0,1
679,"22",N73,0,44,0,1
680,"22",N83,0,42,0,1
681,"22",C91,12,27,0,1
682,"22",R99,81,135,0,1
683,"23",H26,101,90,0,1
684,"23",O82,0,92,0,1
685,"23",Z38,30,23,0,1
686,"23",K81,12,30,0,1
687,"23",H40,15,20,0,1
688,"23",H11,14,17,0,1
689,"23",Z41,6,18,0,1
690,"23",Z98,12,11,0,1
691,"23",A09,6,11,0,1
692,"23",N85,0,16,0,1
693,"23",E14,3,12,0,1
694,"23",T14,3,11,0,1
695,"23",N40,13,0,0,1
696,"23",I10,3,9,0,1
