id_atencion_por_departamento,id_departamento,codigo_cie,id_tipo_servicio
1225,17,N72,2
1226,17,Z00,2
1227,17,U07,2
1228,17,K29,2
1229,17,K58,2
1230,17,E28,2
1231,17,E11,2
1232,17,Z71,2
1233,17,D64,2
1234,17,M54,2
1235,17,J00,2
1236,17,N92,2
1237,17,N73,2
1238,17,K31,2
1239,17,K59,2
1240,17,C53,2
1241,17,H66,2
1242,17,C69,2
1243,17,D25,2
1244,17,R99,2
1245,18,Z01,2
1246,18,Z34,2
1247,18,N76,2
1248,18,Z33,2
1249,18,I10,2
1250,18,E14,2
1251,18,N39,2
1252,18,K58,2
1253,18,C91,2
1254,18,Z30,2
1255,18,N89,2
1256,18,Z71,2
1257,18,M54,2
1258,18,F41,2
1259,18,K29,2
1260,18,N83,2
1261,18,A09,2
1262,18,Z98,2
1263,18,N72,2
1264,18,B37,2
1265,18,D64,2
1266,18,N92,2
1267,18,H66,2
1268,18,H52,2
1269,18,C53,2
1270,18,U07,2
1271,18,N73,2
1272,18,E28,2
1273,18,E78,2
1274,18,K31,2
1275,18,R99,2
1276,19,Z01,2
1277,19,N73,2
1278,19,N89,2
1279,19,B37,2
1280,19,H52,2
1281,19,C91,2
1282,19,N72,2
1283,19,T15,2
1284,19,H26,2
1285,19,Z30,2
1286,19,H40,2
1287,19,H11,2
1288,19,Z98,2
1289,19,N39,2
1290,19,Z96,2
1291,19,H04,2
1292,19,H10,2
1293,19,Z34,2
1294,19,E14,2
1295,19,N76,2
1296,19,N18,2
1297,19,K29,2
1298,19,U07,2
1299,19,H61,2
1300,19,I10,2
1301,19,S05,2
1302,19,Z71,2
1303,19,H00,2
1304,19,E11,2
1305,19,C53,2
1306,19,R99,2
1307,20,H52,2
1308,20,Z01,2
1309,20,H26,2
1310,20,H11,2
1311,20,H10,2
1312,20,E14,2
1313,20,Z98,2
1314,20,H40,2
1315,20,C91,2
1316,20,I10,2
1317,20,H04,2
1318,20,Z96,2
1319,20,N18,2
1320,20,T15,2
1321,20,S05,2
1322,20,U07,2
1323,20,C69,2
1324,20,Z71,2
1325,20,H61,2
1326,20,N39,2
1327,20,N73,2
1328,20,Z33,2
1329,20,N89,2
1330,20,H00,2
1331,20,A09,2
1332,20,H57,2
1333,20,H35,2
1334,20,N72,2
1335,20,T14,2
1336,20,B37,2
1337,20,R99,2
1338,21,N18,2
1339,21,N03,2
1340,21,C91,2
1341,21,Z01,2
1342,21,E14,2
1343,21,N39,2
1344,21,A09,2
1345,21,I10,2
1346,21,H52,2
1347,21,Z34,2
1348,21,L70,2
1349,21,K29,2
1350,21,K58,2
1351,21,U07,2
1352,21,Z98,2
1353,21,H40,2
1354,21,Z33,2
1355,21,K31,2
1356,21,H66,2
