anio_nacimiento,area_salud,departamento,municipio,codigo_municipio,num_dosis,sexo,n_vacunados,poblacion
2009,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,338,419
2010,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,363,383
2010,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,301,383
2011,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,385,423
2011,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,244,423
2012,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,366,440
2012,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,161,440
2013,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,312,433
2013,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,2a.,Femenino,22,433
2014,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,256,396
2015,ALTA VERAPAZ,ALTA VERAPAZ,SANTA CRUZ VERAPAZ,1602,1a.,Femenino,66,444
2006,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,428,1232
2006,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,274,1232
2007,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,1113,1197
2007,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,962,1197
2008,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,1355,1398
2008,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,1027,1398
2009,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,1116,1318
2009,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,719,1318
2010,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,995,1357
2010,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,372,1357
2011,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,877,1318
2011,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,161,1318
2012,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,644,1371
2012,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,36,1371
2013,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,566,1359
2013,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,2a.,Femenino,7,1359
2014,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,567,1208
2015,ALTA VERAPAZ,ALTA VERAPAZ,SENAHU,1608,1a.,Femenino,90,1321
2006,ALTA VERAPAZ,ALTA VERAPAZ,TACTIC,1604,1a.,Femenino,319,506
2006,ALTA VERAPAZ,ALTA VERAPAZ,TACTIC,1604,2a.,Femenino,137,506
2007,ALTA VERAPAZ,ALTA VERAPAZ,TACTIC,1604,1a.,Femenino,500,575
