anio_nacimiento,area_salud,departamento,municipio,num_dosis,sexo,n_vacunados,poblacion
2007,2,4,403.0,0,2,789,918
2007,2,4,403.0,1,2,708,918
2008,2,4,403.0,0,2,918,933
2008,2,4,403.0,1,2,759,933
2009,2,4,403.0,0,2,792,862
2009,2,4,403.0,1,2,610,862
2010,2,4,403.0,0,2,711,911
2010,2,4,403.0,1,2,491,911
2011,2,4,403.0,0,2,666,903
2011,2,4,403.0,1,2,375,903
2012,2,4,403.0,0,2,714,996
2012,2,4,403.0,1,2,188,996
2013,2,4,403.0,0,2,735,957
2013,2,4,403.0,1,2,17,957
2014,2,4,403.0,0,2,669,974
2015,2,4,403.0,0,2,140,974
2006,2,4,405.0,0,2,112,259
2006,2,4,405.0,1,2,82,259
2007,2,4,405.0,0,2,217,221
2007,2,4,405.0,1,2,186,221
2008,2,4,405.0,0,2,257,277
2008,2,4,405.0,1,2,243,277
2009,2,4,405.0,0,2,197,229
2009,2,4,405.0,1,2,160,229
2010,2,4,405.0,0,2,229,253
2010,2,4,405.0,1,2,166,253
2011,2,4,405.0,0,2,235,270
2011,2,4,405.0,1,2,150,270
2012,2,4,405.0,0,2,205,262
2012,2,4,405.0,1,2,78,262
2013,2,4,405.0,0,2,226,280
2013,2,4,405.0,1,2,2,280
2014,2,4,405.0,0,2,207,292
2015,2,4,405.0,0,2,49,260
2006,2,4,410.0,0,2,53,111
2006,2,4,410.0,1,2,15,111
2007,2,4,410.0,0,2,89,103
2007,2,4,410.0,1,2,121,103
2008,2,4,410.0,0,2,101,116
2008,2,4,410.0,1,2,107,116
2009,2,4,410.0,0,2,125,119
2009,2,4,410.0,1,2,80,119
2010,2,4,410.0,0,2,104,113
2010,2,4,410.0,1,2,61,113
2011,2,4,410.0,0,2,122,106
2011,2,4,410.0,1,2,66,106
2012,2,4,410.0,0,2,121,118
2012,2,4,410.0,1,2,38,118
2013,2,4,410.0,0,2,118,120
2013,2,4,410.0,1,2,0,120
2014,2,4,410.0,0,2,109,111
2015,2,4,410.0,0,2,14,101
2006,2,4,406.0,0,2,433,1233
2006,2,4,406.0,1,2,289,1233
2007,2,4,406.0,0,2,1259,1245
2007,2,4,406.0,1,2,1026,1245
2008,2,4,406.0,0,2,1656,1237
2008,2,4,406.0,1,2,1044,1237
2009,2,4,406.0,0,2,1056,1132
2009,2,4,406.0,1,2,772,1132
2010,2,4,406.0,0,2,958,1176
2010,2,4,406.0,1,2,740,1176
2011,2,4,406.0,0,2,960,1243
2011,2,4,406.0,1,2,648,1243
2012,2,4,406.0,0,2,923,1280
2012,2,4,406.0,1,2,425,1280
